"","Contributor","Total","PACs","Individuals","Senator"
"8064","Aultman Health Foundation","$15600","$0","$15600","Jane Timken"
"8065","American Financial Group","$15500","$0","$15500","Jane Timken"
"8066","Marathon Petroleum","$15281","$0","$15281","Jane Timken"
"8067","Beaver Excavating","$13700","$0","$13700","Jane Timken"
"8068","Kimble Companies","$12600","$0","$12600","Jane Timken"
"8069","Schumacher Homes","$12600","$0","$12600","Jane Timken"
"8070","American Israel Public Affairs Cmte","$19150","$7900","$11250","William Timmons"
"8071","Security Finance","$13700","$2500","$11200","William Timmons"
"8072","Southern Co","$11000","$10000","$1000","William Timmons"
"8073","Mortgage Bankers Assn","$10500","$10000","$500","William Timmons"
"8074","Apollo Global Management","$10200","$0","$10200","William Timmons"
"8075","American Bankers Assn","$10000","$10000","$0","William Timmons"
"8076","American Crystal Sugar","$10000","$10000","$0","William Timmons"
"8077","American Financial Services Assn","$10000","$10000","$0","William Timmons"
"8078","Duke Energy","$10000","$10000","$0","William Timmons"
"8079","Ernst & Young","$10000","$10000","$0","William Timmons"
"8080","Democracy Engine","$61780","$0","$61780","Dina Titus"
"8081","EMILY's List","$25080","$5000","$20080","Dina Titus"
"8082","American Israel Public Affairs Cmte","$24400","$7900","$16500","Dina Titus"
"8083","University of Nevada","$17210","$0","$17210","Dina Titus"
"8084","Honeywell International","$16600","$5000","$11600","Dina Titus"
"8085","Frontline USA","$16012","$7500","$8512","Dina Titus"
"8086","MGM Resorts International","$14150","$10000","$4150","Dina Titus"
"8087","Porter Group","$12800","$0","$12800","Dina Titus"
"8088","Terrible Herbst","$11600","$0","$11600","Dina Titus"
"8089","Swing Left","$11428","$0","$11428","Dina Titus"
"8090","Apple Inc","$15800","$0","$15800","Rashida Tlaib"
"8091","Arab Community Center for Economic/Social Service","$15000","$0","$15000","Rashida Tlaib"
"8092","Bigdash Commissary LLC","$12600","$0","$12600","Rashida Tlaib"
"8093","University of California","$11667","$0","$11667","Rashida Tlaib"
"8094","Arista Networks","$11600","$0","$11600","Rashida Tlaib"
"8095","Ideal Market","$11600","$0","$11600","Rashida Tlaib"
"8096","IDS Real Estate Group","$11600","$0","$11600","Rashida Tlaib"
"8097","Pressure Grout Co","$11600","$0","$11600","Rashida Tlaib"
"8098","Microsoft Corp","$9983","$0","$9983","Rashida Tlaib"
"8099","Shifamed LLC","$8600","$0","$8600","Rashida Tlaib"
"8100","Black Dog Management","$11600","$0","$11600","Spencer Toder"
"8101","Ross & Baruzzini","$6550","$0","$6550","Spencer Toder"
"8102","Compass Group Equity Partners","$5800","$0","$5800","Spencer Toder"
"8103","BJC Medical Group","$2900","$0","$2900","Spencer Toder"
"8104","G3n3 LLC","$2900","$0","$2900","Spencer Toder"
"8105","Preferred Hardwood Flooring","$2900","$0","$2900","Spencer Toder"
"8106","Ron Rubin Brands","$2900","$0","$2900","Spencer Toder"
"8107","West County Rheumatology","$2900","$0","$2900","Spencer Toder"
"8108","Music From the Hearts of Spce","$2700","$0","$2700","Spencer Toder"
"8109","Nestle Purina","$2500","$0","$2500","Spencer Toder"
"8110","Plug Power Inc","$28875","$0","$28875","Paul Tonko"
"8111","National Grid plc","$11400","$10000","$1400","Paul Tonko"
"8112","J Street","$11188","$1000","$10188","Paul Tonko"
"8113","General Electric","$10050","$10000","$50","Paul Tonko"
"8114","American Assn for Justice","$10000","$10000","$0","Paul Tonko"
"8115","American Federation of State/Cnty/Munic Employees","$10000","$10000","$0","Paul Tonko"
"8116","American Federation of Teachers","$10000","$10000","$0","Paul Tonko"
"8117","American Occupational Therapy Assn","$10000","$10000","$0","Paul Tonko"
"8118","American Optometric Assn","$10000","$10000","$0","Paul Tonko"
"8119","American Physical Therapy Assn","$10000","$10000","$0","Paul Tonko"
"8120","John Alle Co","$2000","$0","$2000","Leah Toomim"
"8121","Customized Recruiting Solution","$1550","$0","$1550","Leah Toomim"
"8122","Shelander Enterprises","$500","$0","$500","Leah Toomim"
"8123","B&K Moda","$150","$0","$150","Leah Toomim"
"8124","American Humanist Assn","$500","$500","$0","David Torres"
"8125","Lockheed Martin","$500","$0","$500","David Torres"
"8126","SAP SE","$400","$0","$400","David Torres"
"8127","Snyder For Colorado Leadership Fund","$400","$0","$400","David Torres"
"8128","Netskope","$250","$0","$250","David Torres"
"8129","Polaris Alpha","$250","$0","$250","David Torres"
"8130","Snc","$250","$0","$250","David Torres"
"8131","Greystar","$50","$0","$50","David Torres"
"8132","Democracy Engine","$32450","$0","$32450","Norma Torres"
"8133","National Assn of Letter Carriers","$12500","$12500","$0","Norma Torres"
"8134","American Crystal Sugar","$10000","$10000","$0","Norma Torres"
"8135","American Federation of State/Cnty/Munic Employees","$10000","$10000","$0","Norma Torres"
"8136","American Federation of Teachers","$10000","$10000","$0","Norma Torres"
"8137","AT&T Inc","$10000","$10000","$0","Norma Torres"
"8138","Carpenters & Joiners Union","$10000","$10000","$0","Norma Torres"
"8139","Credit Union National Assn","$10000","$10000","$0","Norma Torres"
"8140","Honeywell International","$10000","$10000","$0","Norma Torres"
"8141","International Brotherhood of Electrical Workers","$10000","$10000","$0","Norma Torres"
"8142","American Israel Public Affairs Cmte","$126308","$10000","$116308","Ritchie Torres"
"8143","Democracy Engine","$81250","$0","$81250","Ritchie Torres"
"8144","Blackstone Group","$52400","$0","$52400","Ritchie Torres"
"8145","NorPAC","$47970","$0","$47970","Ritchie Torres"
"8146","Elliott Management","$37680","$0","$37680","Ritchie Torres"
"8147","Apollo Global Management","$37050","$0","$37050","Ritchie Torres"
"8148","Kraft Group","$26100","$0","$26100","Ritchie Torres"
"8149","Standard Industries","$26050","$0","$26050","Ritchie Torres"
"8150","Arker Companies","$22750","$0","$22750","Ritchie Torres"
"8151","BGC Partners","$20800","$0","$20800","Ritchie Torres"
"8152","Royal Jewelers","$2936","$0","$2936","Gilead Towne"
"8153","Northwest Biotherapeutics","$17400","$0","$17400","Lori Trahan"
"8154","Ukg","$17400","$0","$17400","Lori Trahan"
"8155","Greater Boston Urology","$15000","$0","$15000","Lori Trahan"
"8156","Wingate Healthcare","$14600","$0","$14600","Lori Trahan"
"8157","DataRobot Inc","$12310","$0","$12310","Lori Trahan"
"8158","Bain Capital","$11600","$0","$11600","Lori Trahan"
"8159","Triumvirate Environmental","$11600","$0","$11600","Lori Trahan"
"8160","Avenue Solutions","$11300","$0","$11300","Lori Trahan"
"8161","University of Massachusetts","$10930","$0","$10930","Lori Trahan"
"8162","Granite Telecommunications","$10800","$0","$10800","Lori Trahan"
"8163","New Horizons Pictures","$1000","$0","$1000","Brittany Trambauer-Smith"
"8164","Stewart, Tilghman et al","$500","$0","$500","Brittany Trambauer-Smith"
"8165","Wellstar Health System","$500","$0","$500","Brittany Trambauer-Smith"
"8166","Flex Ltd","$250","$0","$250","Brittany Trambauer-Smith"
"8167","Kennesaw State University","$250","$0","$250","Brittany Trambauer-Smith"
"8168","Trail of Bits","$250","$0","$250","Brittany Trambauer-Smith"
"8169","University of California","$250","$0","$250","Brittany Trambauer-Smith"
"8170","Southern Glazer's Wine & Spirits","$23200","$0","$23200","David Trone"
"8171","Allied Beverage Group","$17400","$0","$17400","David Trone"
"8172","Caymus Vineyards","$17400","$0","$17400","David Trone"
"8173","Buchanan, Ingersoll & Rooney","$11600","$0","$11600","David Trone"
"8174","Sierra Nevada Corp","$11600","$0","$11600","David Trone"
"8175","Southern Wine & Spirits","$11600","$0","$11600","David Trone"
"8176","Menocal Medical Services","$6200","$0","$6200","David Trone"
"8177","Bain Capital","$5800","$0","$5800","David Trone"
"8178","Bluestem Asset Management","$5800","$0","$5800","David Trone"
"8179","Dispact","$5800","$0","$5800","David Trone"
"8180","State of Alaska","$34395","$0","$34395","Kelly Tshibaka"
"8181","Saulsbury Industries","$31900","$0","$31900","Kelly Tshibaka"
"8182","Parts Life","$20800","$0","$20800","Kelly Tshibaka"
"8183","Petro 49","$17700","$0","$17700","Kelly Tshibaka"
"8184","Deason Capital Services","$17400","$0","$17400","Kelly Tshibaka"
"8185","Municipality of Anchorage, AK","$14615","$0","$14615","Kelly Tshibaka"
"8186","Kirkland & Ellis","$13400","$0","$13400","Kelly Tshibaka"
"8187","State Farm Insurance","$13105","$0","$13105","Kelly Tshibaka"
"8188","Powers Brothers","$11610","$0","$11610","Kelly Tshibaka"
"8189","Cruz Construction (Alaska)","$11600","$0","$11600","Kelly Tshibaka"
"8190","Sugar Creek Packing","$25000","$0","$25000","Michael R Turner"
"8191","American Israel Public Affairs Cmte","$19150","$7900","$11250","Michael R Turner"
"8192","Hunt Development","$17400","$0","$17400","Michael R Turner"
"8193","Berry Investments","$16800","$0","$16800","Michael R Turner"
"8194","Caresource","$15000","$0","$15000","Michael R Turner"
"8195","Lockheed Martin","$12900","$10000","$2900","Michael R Turner"
"8196","Adams Robinson Enterprises","$12600","$0","$12600","Michael R Turner"
"8197","Oberer Companies","$12600","$0","$12600","Michael R Turner"
"8198","Heidelberg Distributing","$11950","$0","$11950","Michael R Turner"
"8199","Sierra Nevada Corp","$11800","$6000","$5800","Michael R Turner"
"8200","University of California","$19198","$0","$19198","Nina Turner"
"8201","Eplanet Capital Advisors Us","$17400","$0","$17400","Nina Turner"
"8202","Galloway Group (California)","$16100","$0","$16100","Nina Turner"
"8203","Lehbros Ltd","$15500","$0","$15500","Nina Turner"
"8204","University of Illinois","$13085","$0","$13085","Nina Turner"
"8205","Windermere Real Estate","$10549","$0","$10549","Nina Turner"
"8206","United Food & Commercial Workers Union","$10237","$10000","$237","Nina Turner"
"8207","American Postal Workers Union","$10000","$10000","$0","Nina Turner"
"8208","Courage to Change","$10000","$10000","$0","Nina Turner"
"8209","Our Revolution PAC","$10000","$10000","$0","Nina Turner"
"8210","Democracy Engine","$132030","$0","$132030","Lauren A Underwood"
"8211","EMILY's List","$82477","$10000","$72477","Lauren A Underwood"
"8212","Blue Cross/Blue Shield","$56896","$0","$56896","Lauren A Underwood"
"8213","University of Chicago","$48560","$0","$48560","Lauren A Underwood"
"8214","Northwestern University","$34366","$0","$34366","Lauren A Underwood"
"8215","Digidems PAC","$25972","$3872","$22100","Lauren A Underwood"
"8216","Alphabet Inc","$25153","$0","$25153","Lauren A Underwood"
"8217","Kirkland & Ellis","$24819","$0","$24819","Lauren A Underwood"
"8218","Frontline USA","$23985","$5000","$18985","Lauren A Underwood"
"8219","University of California","$22980","$0","$22980","Lauren A Underwood"
"8220","No Labels","$336258","$5000","$331258","Fred Upton"
"8221","Rdv Corp","$19066","$0","$19066","Fred Upton"
"8222","Blue Cross/Blue Shield","$11000","$11000","$0","Fred Upton"
"8223","Continuing America's Strength & Security","$10000","$10000","$0","Fred Upton"
"8224","Prescott Investors","$9108","$0","$9108","Fred Upton"
"8225","Meijer Inc","$8700","$0","$8700","Fred Upton"
"8226","Pfizer Inc","$7900","$7900","$0","Fred Upton"
"8227","American College of Emergency Physicians","$7500","$7500","$0","Fred Upton"
"8228","American College of Radiology","$7500","$7500","$0","Fred Upton"
"8229","American Hospital Assn","$7500","$7500","$0","Fred Upton"
"8230","Immigration Equality","$500","$0","$500","Marcos Urrea"
"8231","Made Fur You","$500","$0","$500","Marcos Urrea"
"8232","Weil, Gotshal & Manges","$500","$0","$500","Marcos Urrea"
"8233","National Amusements Inc","$350","$0","$350","Marcos Urrea"
"8234","Bertelsmann AG","$300","$0","$300","Marcos Urrea"
"8235","Healthcare Rising","$222","$0","$222","Marcos Urrea"
"8236","Blue Cross/Blue Shield","$15500","$14500","$1000","David Valadao"
"8237","USA Rice Federation","$15000","$15000","$0","David Valadao"
"8238","Granville Homes","$12600","$0","$12600","David Valadao"
"8239","Advance Beverage","$11600","$0","$11600","David Valadao"
"8240","ClearPath Foundation","$11600","$0","$11600","David Valadao"
"8241","De Anza Properties","$11600","$0","$11600","David Valadao"
"8242","Dimensional Fund Advisors","$11600","$0","$11600","David Valadao"
"8243","Fisher Investments","$11600","$0","$11600","David Valadao"
"8244","Lewis Edward","$11600","$0","$11600","David Valadao"
"8245","Marcus Foundation","$11600","$0","$11600","David Valadao"
"8246","State of Colorado","$3450","$0","$3450","Donald Valdez"
"8247","Boulder Abortion Clinic","$2900","$0","$2900","Donald Valdez"
"8248","Envision Management","$2900","$0","$2900","Donald Valdez"
"8249","June Street Architecture","$2900","$0","$2900","Donald Valdez"
"8250","K Rowe Investments","$2900","$0","$2900","Donald Valdez"
"8251","Thomas A Barron LLC","$2800","$0","$2800","Donald Valdez"
"8252","Fairfield & Woods","$2700","$0","$2700","Donald Valdez"
"8253","Insight Partners","$2000","$0","$2000","Donald Valdez"
"8254","Murray, Montgomery & O'Donnell","$2000","$0","$2000","Donald Valdez"
"8255","The Gift Shop","$1900","$0","$1900","Donald Valdez"
"8256","Springfield Clinic","$500","$0","$500","Rich Van Dam"
"8257","Democracy Engine","$178783","$0","$178783","Jeff Van Drew"
"8258","Lund's Fisheries","$24200","$0","$24200","Jeff Van Drew"
"8259","American Israel Public Affairs Cmte","$13700","$7900","$5800","Jeff Van Drew"
"8260","National Assn of Letter Carriers","$12500","$12500","$0","Jeff Van Drew"
"8261","Shore Medical Center","$12200","$0","$12200","Jeff Van Drew"
"8262","Fisher Investments","$11600","$0","$11600","Jeff Van Drew"
"8263","Freshwave LLC","$11600","$0","$11600","Jeff Van Drew"
"8264","Marcus Foundation","$11600","$0","$11600","Jeff Van Drew"
"8265","Pan American Hotel LLC","$11600","$0","$11600","Jeff Van Drew"
"8266","Western National Group","$11600","$0","$11600","Jeff Van Drew"
"8267","American Airlines Group","$24405","$6000","$18405","Beth Van Duyne"
"8268","Hillwood Development","$18999","$0","$18999","Beth Van Duyne"
"8269","Deason Capital Services","$14500","$0","$14500","Beth Van Duyne"
"8270","Insperity","$14500","$0","$14500","Beth Van Duyne"
"8271","Celanese Corp","$12600","$1500","$11100","Beth Van Duyne"
"8272","Goosehead Insurance","$12599","$0","$12599","Beth Van Duyne"
"8273","Southland Holdings","$12100","$0","$12100","Beth Van Duyne"
"8274","Berkshire Hathaway","$11800","$2500","$9300","Beth Van Duyne"
"8275","Acellerated Interventional Orthopedics","$11600","$0","$11600","Beth Van Duyne"
"8276","Affiliated Managers Group","$11600","$0","$11600","Beth Van Duyne"
"8277","Votesane PAC","$106500","$0","$106500","Chris Van Hollen"
"8278","J Street","$49130","$0","$49130","Chris Van Hollen"
"8279","Leidos Inc","$46480","$7500","$38980","Chris Van Hollen"
"8280","Gallagher, Evelius & Jones","$31350","$0","$31350","Chris Van Hollen"
"8281","Deloitte LLP","$25750","$10000","$15750","Chris Van Hollen"
"8282","Wilmerhale LLP","$24950","$0","$24950","Chris Van Hollen"
"8283","ArentFox Schiff","$23150","$2500","$20650","Chris Van Hollen"
"8284","Ciena Healthcare Management","$21200","$0","$21200","Chris Van Hollen"
"8285","Holland & Knight","$18500","$2500","$16000","Chris Van Hollen"
"8286","Johns Hopkins University","$17930","$0","$17930","Chris Van Hollen"
"8287","International Brotherhood of Electrical Workers","$5500","$500","$5000","Jacob VandenPlas"
"8288","Mnm Ventures Llc","$1000","$0","$1000","Jacob VandenPlas"
"8289","McNulty Surveying & Mapping","$500","$0","$500","Jacob VandenPlas"
"8290","Ferrellgas","$400","$0","$400","Jacob VandenPlas"
"8291","American Israel Public Affairs Cmte","$51100","$7900","$43200","Juan Vargas"
"8292","Elliott Management","$32580","$0","$32580","Juan Vargas"
"8293","Elm Grove Strategies LLC","$11600","$0","$11600","Juan Vargas"
"8294","American Crystal Sugar","$10000","$10000","$0","Juan Vargas"
"8295","American Institute of CPAs","$10000","$10000","$0","Juan Vargas"
"8296","Carpenters & Joiners Union","$10000","$10000","$0","Juan Vargas"
"8297","Ernst & Young","$10000","$10000","$0","Juan Vargas"
"8298","LPL Financial Holdings","$10000","$10000","$0","Juan Vargas"
"8299","Machinists/Aerospace Workers Union","$10000","$10000","$0","Juan Vargas"
"8300","National Assn of Realtors","$10000","$10000","$0","Juan Vargas"
"8301","American Pro-Israel PAC","$25900","$0","$25900","Marc Veasey"
"8302","Rock Holdings","$20400","$5000","$15400","Marc Veasey"
"8303","Q Investments","$15800","$10000","$5800","Marc Veasey"
"8304","Mary Kay Holding Corp","$14400","$0","$14400","Marc Veasey"
"8305","Lockheed Martin","$13100","$10000","$3100","Marc Veasey"
"8306","Bonanza Oil","$11500","$0","$11500","Marc Veasey"
"8307","Dell Technologies","$11500","$10000","$1500","Marc Veasey"
"8308","Witherite Law Group","$11400","$0","$11400","Marc Veasey"
"8309","L3Harris Technologies","$11000","$11000","$0","Marc Veasey"
"8310","American Airlines Group","$10500","$9500","$1000","Marc Veasey"
"8311","Metropolitan Recycling","$16600","$0","$16600","Nydia Velazquez"
"8312","J Street","$12168","$1000","$11168","Nydia Velazquez"
"8313","Union Square Ventures","$12100","$0","$12100","Nydia Velazquez"
"8314","American Dental Assn","$10000","$10000","$0","Nydia Velazquez"
"8315","American Federation of State/Cnty/Munic Employees","$10000","$10000","$0","Nydia Velazquez"
"8316","American Federation of Teachers","$10000","$10000","$0","Nydia Velazquez"
"8317","American Rental Assn","$10000","$10000","$0","Nydia Velazquez"
